rows,cols,iterations,input,final,stack,read_s,compute_s,write_s,overall_s
192,192,30,../data/initial.dat,../data/final_serial.dat,disabled,9.202957153e-05,5.700588226e-04,2.160072327e-04,8.821487427e-04
192,192,50,../data/initial.dat,../data/final_serial.dat,disabled,1.010894775e-04,9.598731995e-04,2.300739288e-04,1.296043396e-03
192,192,50,../data/initial.dat,../data/final_serial.dat,disabled,1.089572906e-04,8.599758148e-04,2.210140228e-04,1.194000244e-03
192,192,50,../data/initial.dat,../data/final_serial.dat,disabled,9.608268738e-05,8.718967438e-04,2.310276031e-04,1.203060150e-03
192,192,50,../data/initial.dat,../data/final_serial.dat,disabled,9.298324585e-05,8.690357208e-04,2.238750458e-04,1.189947128e-03
192,192,50,../data/initial.dat,../data/final_serial.dat,disabled,1.029968262e-04,8.459091187e-04,2.639293671e-04,1.217842102e-03
192,192,70,../data/initial.dat,../data/final_serial.dat,disabled,1.099109650e-04,1.708984375e-03,2.260208130e-04,2.048969269e-03
192,192,70,../data/initial.dat,../data/final_serial.dat,disabled,1.130104065e-04,1.240015030e-03,2.348423004e-04,1.591920853e-03
192,192,70,../data/initial.dat,../data/final_serial.dat,disabled,1.199245453e-04,1.291990280e-03,2.250671387e-04,1.641035080e-03
192,192,70,../data/initial.dat,../data/final_serial.dat,disabled,1.170635223e-04,1.181125641e-03,2.369880676e-04,1.538991928e-03
192,192,70,../data/initial.dat,../data/final_serial.dat,disabled,1.058578491e-04,1.183032990e-03,2.751350403e-04,1.569032669e-03
192,192,90,../data/initial.dat,../data/final_serial.dat,disabled,1.208782196e-04,1.543998718e-03,2.598762512e-04,1.928806305e-03
192,192,90,../data/initial.dat,../data/final_serial.dat,disabled,1.239776611e-04,1.526832581e-03,2.460479736e-04,1.899957657e-03
192,192,90,../data/initial.dat,../data/final_serial.dat,disabled,1.080036163e-04,1.652956009e-03,2.269744873e-04,1.991033554e-03
192,192,90,../data/initial.dat,../data/final_serial.dat,disabled,1.120567322e-04,1.539945602e-03,2.279281616e-04,1.883029938e-03
192,192,90,../data/initial.dat,../data/final_serial.dat,disabled,9.202957153e-05,1.488924026e-03,2.210140228e-04,1.807212830e-03
192,192,110,../data/initial.dat,../data/final_serial.dat,disabled,1.158714294e-04,2.007007599e-03,2.319812775e-04,2.358913422e-03
192,192,110,../data/initial.dat,../data/final_serial.dat,disabled,1.239776611e-04,1.812934875e-03,2.269744873e-04,2.167940140e-03
192,192,110,../data/initial.dat,../data/final_serial.dat,disabled,1.089572906e-04,1.991987228e-03,2.238750458e-04,2.328872681e-03
