n,trial_index,total_s,read_s,compute_s,write_s
1000,233,0.005113393,0.001485218,0.003569749,5.371e-05
1000,234,0.005162797,0.00157921,0.003529467,4.9508e-05
1000,235,0.004545955,0.000981125,0.003509685,4.9302e-05
1000,236,0.00464251,0.001027455,0.00355868,5.0225e-05
1000,237,0.004572708,0.001008083,0.003514503,4.551e-05
1000,238,0.00455354,0.000974668,0.00352793,4.6535e-05
1000,239,0.004682689,0.001060767,0.003567495,4.8789e-05
1000,240,0.005469988,0.001646654,0.003769214,4.92e-05
1000,241,0.005076185,0.001462668,0.003563292,4.551e-05
1000,242,0.004880718,0.001141537,0.003683729,5.043e-05
1000,243,0.004953493,0.0010908,0.003796273,6.0065e-05
1000,244,0.004713542,0.001087007,0.003578462,4.346e-05
1000,245,0.004909214,0.001069787,0.003787869,4.6125e-05
1000,246,0.004835823,0.001067634,0.003708636,5.33e-05
1000,247,0.004892609,0.001156399,0.003693364,3.7822e-05
1000,248,0.004790314,0.00103012,0.003714992,4.018e-05
1000,249,0.004842384,0.001131902,0.003656464,4.9199e-05
1000,250,0.004880308,0.001072144,0.003761321,4.1615e-05
1000,251,0.00507639,0.001278066,0.003750867,4.1e-05
1000,252,0.004822191,0.001050005,0.003726369,4.1205e-05
1000,253,0.00504195,0.001306356,0.003693467,3.567e-05
1000,254,0.005061127,0.001168567,0.003717193,0.000170365
1000,255,0.004829105,0.00108425,0.003699329,4.0422e-05
1000,256,0.004804402,0.001129775,0.003631653,3.8074e-05
1000,257,0.00479348,0.00105475,0.00369739,3.593e-05
1000,258,0.004828798,0.001101806,0.003688102,3.4093e-05
1000,259,0.004818183,0.001084352,0.003694838,3.3685e-05
1000,260,0.00479644,0.001079962,0.003676668,3.5318e-05
1000,261,0.004747648,0.001069754,0.003638798,3.3991e-05
1000,262,0.004904335,0.001161929,0.003702391,3.491e-05
1000,263,0.005478409,0.001634744,0.003800588,3.8176e-05
1000,264,0.004937509,0.001118547,0.00377507,3.8381e-05
1000,265,0.005352345,0.001662101,0.003638696,4.6751e-05
1000,266,0.004995182,0.001066998,0.003871123,5.1548e-05
