n,p,total_s,read_s,compute_s,write_s
9000,9,0.436529535,0.410813766,0.02542743,0.000238096
9000,10,0.462345674,0.439017413,0.022962524,0.000263965
9000,11,0.443649208,0.422378485,0.020916443,0.000252613
9000,12,0.439477549,0.419895858,0.019242669,0.000268368
9000,13,0.446684229,0.428503955,0.017858061,0.000270813
9000,14,0.49739403,0.480279162,0.016713228,0.00032663
9000,15,0.440756453,0.423964867,0.016347908,0.000250565
9000,16,0.540353286,0.524140277,0.015727833,0.000334642
9000,17,0.504486895,0.488930363,0.015132777,0.000342798
9000,18,0.478192312,0.461894606,0.016002394,0.000217562
9000,19,0.471141979,0.455474206,0.015318872,0.000230039
9000,20,0.507315525,0.48843743,0.014827387,0.000265173
10000,1,0.621445979,0.472958215,0.148284444,0.000162881
10000,2,0.541957852,0.466702406,0.074988871,0.000222608
10000,3,0.53244095,0.4822905,0.04988157,0.00023754
10000,4,0.518547273,0.476733382,0.041544171,0.000231883
10000,5,0.499197648,0.468880622,0.030057822,0.000223258
10000,6,0.505304019,0.480013005,0.025025729,0.000234591
10000,7,0.519364523,0.495114952,0.02400044,0.000215534
10000,8,0.505242102,0.485980334,0.018986393,0.00024332
10000,9,0.532053817,0.500375542,0.031372749,0.000232836
10000,10,0.635054321,0.60607141,0.028485315,0.000421344
10000,11,0.554563134,0.528395615,0.025841776,0.000270765
10000,12,0.547074635,0.522823464,0.0239195,0.000287584
10000,13,0.547031939,0.524704885,0.022003494,0.000258891
10000,14,0.54458102,0.523684145,0.020567229,0.000274849
10000,15,0.5481263,0.527581659,0.020238066,0.000249669
10000,16,0.573275273,0.553676309,0.019281117,0.000241239
10000,17,0.598527687,0.579560038,0.018585446,0.000318096
10000,18,0.569691861,0.549822331,0.019517242,0.000269957
10000,19,0.574256803,0.555062783,0.018867305,0.000261098
10000,20,0.619450089,0.600967616,0.018101273,0.000292939
