N,P,trial,elapsed_seconds,absorbed,transmitted,reflected
400000,13,2,0.0042057790000171735,186007,93286,120707
400000,13,3,0.00396160200000395,186195,93090,120715
400000,13,4,0.004029438999964441,186574,92842,120584
400000,14,0,0.003685491000055663,186490,92737,120773
400000,14,1,0.0038479290000168476,186168,92918,120914
400000,14,2,0.003898574999993798,186135,93135,120730
400000,14,3,0.0034911899999769958,186201,93133,120666
400000,14,4,0.003502891000039199,186408,92912,120680
400000,15,0,0.0034665250000216474,186292,92901,120807
400000,15,1,0.003414582999994309,186172,92825,121003
400000,15,2,0.0038927289999719505,186099,93070,120831
400000,15,3,0.0037922029999890583,186194,93111,120695
400000,15,4,0.0035410219999221226,186227,92974,120799
400000,16,0,0.0037719429999469867,186390,92825,120785
400000,16,1,0.003470136000032653,186384,92839,120777
400000,16,2,0.003582345000040732,186063,93071,120866
400000,16,3,0.003557107000005999,186190,93108,120702
400000,16,4,0.0033908010000232025,186276,92987,120737
400000,17,0,0.0032918409999638243,186298,92942,120760
400000,17,1,0.0033425359999910143,186285,92854,120861
400000,17,2,0.0033543140000347194,186102,93060,120838
400000,17,3,0.0032745540000860274,186033,93193,120774
400000,17,4,0.0034190880001006008,186345,92964,120691
400000,18,0,0.0032351420001077713,186252,93024,120724
400000,18,1,0.0031468429999677028,186302,92942,120756
400000,18,2,0.0034052570000540072,186114,92837,121049
400000,18,3,0.0035046939999574533,186125,93233,120642
400000,18,4,0.0033702419999599442,186257,93079,120664
400000,19,0,0.0034141070000259788,186316,93056,120628
400000,19,1,0.0031324939999421986,186376,92884,120740
400000,19,2,0.0033470409999836193,186228,92770,121002
400000,19,3,0.00335006299997076,186342,93130,120528
400000,19,4,0.003182238000022153,186076,93174,120750
400000,20,0,0.0031995729999607647,186359,93055,120586
400000,20,1,0.003258052999967731,186538,92889,120573
400000,20,2,0.0031022290000919384,186362,92764,120874
400000,20,3,0.0030878889999712555,186236,93096,120668
400000,20,4,0.0032339439999304886,186094,93190,120716
800000,1,0,0.05044652700007646,373003,186358,240639
800000,1,1,0.0509791069999892,372592,185443,241965
800000,1,2,0.04998687499994503,371771,186141,242088
800000,1,3,0.04991136099999949,372284,185954,241762
800000,1,4,0.050074184999971294,372586,185471,241943
800000,2,0,0.02548035200004506,372364,186509,241127
800000,2,1,0.02546610099989266,372158,186184,241658
800000,2,2,0.025549029000103474,371882,186422,241696
800000,2,3,0.02537567499996385,372628,185165,242207
800000,2,4,0.025246281000022464,372238,185734,242028
800000,3,0,0.01768268800003625,372616,186328,241056
800000,3,1,0.017448552000018935,372468,186167,241365
800000,3,2,0.0173316220000288,372358,186171,241471
800000,3,3,0.01723815899993042,372601,185582,241817
800000,3,4,0.01717081499998585,372297,185811,241892
800000,4,0,0.01353741400009767,372413,186670,240917
800000,4,1,0.013666542999999365,372759,185998,241243
800000,4,2,0.013352346000033322,373016,186023,240961
800000,4,3,0.013062916999956542,372998,185209,241793
800000,4,4,0.013399348999996619,372366,185958,241676
800000,5,0,0.011823552999999265,372362,186321,241317
800000,5,1,0.011805231999915122,372711,185865,241424
800000,5,2,0.011498240000037185,372575,186300,241125
800000,5,3,0.01105713000004016,372949,185516,241535
800000,5,4,0.0109532379999564,372179,186079,241742
800000,6,0,0.009729074999995646,371787,186680,241533
800000,6,1,0.009777335999956449,372204,185852,241944
800000,6,2,0.00978361899990432,372762,186035,241203
800000,6,3,0.009201146999998855,372931,185678,241391
800000,6,4,0.009525303000032181,371691,186353,241956
800000,7,0,0.010461481999982425,372103,186705,241192
800000,7,1,0.009138735999954406,372336,185570,242094
800000,7,2,0.00840993199994955,372645,186242,241113
800000,7,3,0.008528609999984837,372973,185821,241206
800000,7,4,0.00836019500002294,371993,186598,241409
800000,8,0,0.007874348999962422,372176,186400,241424
800000,8,1,0.008101267000029111,372093,185618,242289
800000,8,2,0.00813365499993779,372236,186332,241432
800000,8,3,0.008015935000003083,372980,185961,241059
800000,8,4,0.008345495000071423,372119,186771,241110
800000,9,0,0.008397980000040661,372230,186825,240945
800000,9,1,0.00868703200001164,372161,185760,242079
800000,9,2,0.008198874000072465,372334,186278,241388
800000,9,3,0.008491783999943436,372678,186487,240835
800000,9,4,0.00823656900001879,372333,186554,241113
800000,10,0,0.008501905999992232,372370,186797,240833
800000,10,1,0.007911910999951033,372158,185756,242086
800000,10,2,0.008168407999960436,372271,186296,241433
800000,10,3,0.007524767000063548,372787,186425,240788
800000,10,4,0.008081541000024117,372300,186333,241367
800000,11,0,0.007654639999941537,372577,186597,240826
800000,11,1,0.00780862800002069,372209,185590,242201
800000,11,2,0.0077498110000533416,372210,186090,241700
800000,11,3,0.007425665000027948,372482,186671,240847
800000,11,4,0.0075538260000485025,372227,186169,241604
800000,12,0,0.007234659000005195,372522,186500,240978
800000,12,1,0.007371437999950103,372363,185616,242021
800000,12,2,0.007391570999971009,372396,185935,241669
800000,12,3,0.007325801999968462,372534,186701,240765
800000,12,4,0.0076172880000058285,372517,185838,241645
800000,13,0,0.007062664999921253,372337,186407,241256
800000,13,1,0.006966358999989097,372645,185472,241883
800000,13,2,0.006650519999993776,372131,186179,241690
800000,13,3,0.006394005000061043,372666,186505,240829
800000,13,4,0.006441913999992721,372938,185760,241302
800000,14,0,0.006732848999945418,372387,186216,241397
800000,14,1,0.006383019999930184,372672,185663,241665
800000,14,2,0.006157932999940385,372259,186113,241628
