iteration,label,ranks,rank,overall_avg,overall_peak,job_avg,job_peak_rank,section_avg,section_peak,section_job_avg,section_job_peak_rank
0,mpi_matvec,1,0,1.067577535,996.884714064,1.067577535,996.884714064,1.067626485,1035.866927861,1.067626485,1035.866927861
0,mpi_matvec,1,0,1.096865247,1049.455612256,1.096865247,1049.455612256,1.096904446,1063.405553178,1.096904446,1063.405553178
0,mpi_matvec,1,0,1.074805828,896.157705605,1.074805828,896.157705605,1.074856356,938.306370880,1.074856356,938.306370880
0,mpi_matvec,1,0,1.094837529,1064.821023311,1.094837529,1064.821023311,1.094872918,1094.241555276,1.094872918,1094.241555276
0,mpi_matvec,1,0,1.095636440,1050.972150573,1.095636440,1050.972150573,1.095671849,1079.330839406,1.095671849,1079.330839406
0,mpi_matvec,1,0,1.071771007,1037.209927985,1.071771007,1037.209927985,1.071804925,1064.820958860,1.071804925,1064.820958860
0,mpi_matvec,1,0,1.069708779,1064.962706687,1.069708779,1064.962706687,1.069756872,1109.262320892,1.069756872,1109.262320892
0,mpi_matvec,1,0,1.098242630,1064.820958860,1.098242630,1064.820958860,1.098278374,1109.262390836,1.098278374,1109.262390836
0,mpi_matvec,1,0,1.051323908,1050.972150573,1.051323908,1050.972150573,1.051357658,1079.330839406,1.051357658,1079.330839406
0,mpi_matvec,1,0,1.013818605,1010.994567135,1.013818605,1010.994567135,1.013836739,1037.209927985,1.013836739,1037.209927985
0,mpi_matvec,1,0,1.112324102,907.646924149,1.112324102,907.646924149,1.112360552,939.628846494,1.112360552,939.628846494
0,mpi_matvec,1,0,1.108168314,939.628846494,1.108168314,939.628846494,1.108204353,962.232397365,1.108204353,962.232397365
0,mpi_matvec,1,0,1.114678397,1050.972150573,1.114678397,1050.972150573,1.114714922,1079.330839406,1.114714922,1079.330839406
0,mpi_matvec,1,0,1.082336295,294.724433883,1.082336295,294.724433883,1.082370959,296.912111998,1.082370959,296.912111998
0,mpi_matvec,1,0,1.096025868,633.864183367,1.096025868,633.864183367,1.096106634,671.197252776,1.096106634,671.197252776
0,mpi_matvec,1,0,1.110966529,783.008731951,1.110966529,783.008731951,1.111003038,831.946740669,1.111003038,831.946740669
0,mpi_matvec,1,0,1.109966311,986.071773877,1.109966311,986.071773877,1.110003632,1024.065520664,1.110003632,1024.065520664
0,mpi_matvec,1,0,1.101112719,1010.994567135,1.101112719,1010.994567135,1.101163608,1050.972150573,1.101163608,1050.972150573
0,mpi_matvec,1,0,1.099831874,1064.962771156,1.099831874,1064.962771156,1.099867336,1094.091906754,1.099867336,1094.091906754
0,mpi_matvec,1,0,1.103270259,1064.962706687,1.103270259,1064.962706687,1.103322438,1109.416218420,1.103322438,1109.416218420
0,mpi_matvec,1,0,1.112307056,1064.962771156,1.112307056,1064.962771156,1.112343435,1094.091906754,1.112343435,1094.091906754
0,mpi_matvec,1,0,1.007932951,868.149768682,1.007932951,868.149768682,1.007964350,897.363962292,1.007964350,897.363962292
0,mpi_matvec,1,0,1.082806216,868.055569398,1.082806216,868.055569398,1.082842342,897.464676064,1.082842342,897.464676064
0,mpi_matvec,1,0,1.015225030,1037.344419554,1.015225030,1037.344419554,1.015255993,1064.962706687,1.015255993,1064.962706687
0,mpi_matvec,1,0,1.065811743,713.076028958,1.065811743,713.076028958,1.065845166,732.802048209,1.065845166,732.802048209
0,mpi_matvec,1,0,1.075517212,950.796275050,1.075517212,950.796275050,1.075551935,986.071718606,1.075551935,986.071718606
0,mpi_matvec,1,0,1.090538913,887.508348399,1.090538913,887.508348399,1.090589278,918.062918396,1.090589278,918.062918396
0,mpi_matvec,1,0,0.890629140,1064.962706687,0.890629140,1064.962706687,0.890642592,1079.330839406,0.890642592,1079.330839406
0,mpi_matvec,1,0,1.091766284,1050.834102361,1.091766284,1050.834102361,1.091801809,1094.091906754,1.091801809,1094.091906754
0,mpi_matvec,1,0,1.184878392,1746.894458139,1.184878392,1746.894458139,1.184896169,1799.280259139,1.184896169,1799.280259139
0,mpi_matvec,1,0,1.113129527,1650.770330486,1.113129527,1650.770330486,1.113145714,1697.472622848,1.113145714,1697.472622848
0,mpi_matvec,1,0,1.104654389,1620.891440731,1.104654389,1620.891440731,1.104670582,1650.619023541,1.104670582,1650.619023541
0,mpi_matvec,1,0,1.127281707,1511.969810120,1.127281707,1511.969810120,1.127305522,1564.537130246,1.127305522,1564.537130246
0,mpi_matvec,1,0,1.119845177,1474.805398499,1.119845177,1474.805398499,1.119854939,1474.805398499,1.119854939,1474.805398499
0,mpi_matvec,1,0,1.114915616,1592.215827554,1.114915616,1592.215827554,1.114931848,1635.620167739,1.114931848,1635.620167739
0,mpi_matvec,1,0,1.111313305,1394.808219420,1.111313305,1394.808219420,1.111329474,1416.765025836,1.111329474,1416.765025836
0,mpi_matvec,1,0,1.121995454,1276.052745275,1.121995454,1276.052745275,1.122018945,1313.293436822,1.122018945,1313.293436822
0,mpi_matvec,1,0,1.122186476,1439.309122925,1.122186476,1439.309122925,1.122205159,1462.819946439,1.122205159,1462.819946439
0,mpi_matvec,1,0,1.122230445,1650.618954709,1.122230445,1650.618954709,1.122253904,1713.469798518,1.122253904,1713.469798518
0,mpi_matvec,1,0,1.096008565,1374.990472396,1.096008565,1374.990472396,1.096024601,1396.323005582,1.096024601,1396.323005582
0,mpi_matvec,1,0,1.088374070,1344.186367147,1.088374070,1344.186367147,1.088396177,1374.990424633,1.088396177,1374.990424633
0,mpi_matvec,1,0,1.110219479,1440.922164413,1.110219479,1440.922164413,1.110236010,1476.377926967,1.110236010,1476.377926967
0,mpi_matvec,1,0,1.114471730,1579.917490076,1.114471730,1579.917490076,1.114481581,1593.907706380,1.114481581,1593.907706380
0,mpi_matvec,1,0,1.081202686,1566.306949860,1.081202686,1566.306949860,1.081218922,1608.147969172,1.081218922,1608.147969172
0,mpi_matvec,1,0,0.933309107,1513.622577675,0.933309107,1513.622577675,0.933315692,1539.514191989,0.933315692,1539.514191989
0,mpi_matvec,1,0,1.058970545,1344.186367147,1.058970545,1344.186367147,1.059001419,1385.574634064,1.059001419,1385.574634064
0,mpi_matvec,1,0,0.995321819,1407.129430149,0.995321819,1407.129430149,0.995335197,1440.922216867,0.995335197,1440.922216867
