rows,cols,steps,threads,dx,dy,height,save_interval,repeat,read_time_s,compute_time_s,write_time_s,movie_bytes,movie_path
500,500,500,8,1.0,1.0,0.5,500,1,0.0,0.22718381881713867,0.0,12000068,
500,1000,500,1,1.0,1.0,0.5,500,1,0.0,0.4645199775695801,0.0,24000068,
500,1000,500,2,1.0,1.0,0.5,500,1,0.0,0.3454160690307617,0.0,24000068,
500,1000,500,4,1.0,1.0,0.5,500,1,0.0,0.3294508457183838,0.0,24000068,
500,1000,500,6,1.0,1.0,0.5,500,1,0.0,0.32760095596313477,0.0,24000068,
500,1000,500,8,1.0,1.0,0.5,500,1,0.0,0.3602640628814697,0.0,24000068,
500,5000,500,1,1.0,1.0,0.5,500,1,0.0,3.361841917037964,0.0,120000068,
500,5000,500,2,1.0,1.0,0.5,500,1,0.0,1.9449830055236816,0.0,120000068,
500,5000,500,4,1.0,1.0,0.5,500,1,0.0,3.953303098678589,0.0,120000068,
500,5000,500,6,1.0,1.0,0.5,500,1,0.0,1.678908109664917,0.0,120000068,
500,5000,500,8,1.0,1.0,0.5,500,1,0.0,1.7563390731811523,0.0,120000068,
500,10000,500,1,1.0,1.0,0.5,500,1,0.0,7.235216856002808,0.0,240000068,
500,10000,500,2,1.0,1.0,0.5,500,1,0.0,4.304289102554321,0.0,240000068,
500,10000,500,4,1.0,1.0,0.5,500,1,0.0,2.8378710746765137,0.0,240000068,
500,10000,500,6,1.0,1.0,0.5,500,1,0.0,2.7966511249542236,0.0,240000068,
500,10000,500,8,1.0,1.0,0.5,500,1,0.0,2.8738420009613037,0.0,240000068,
1000,100,500,1,1.0,1.0,0.5,500,1,0.0,0.09848189353942871,0.0,4800068,
1000,100,500,2,1.0,1.0,0.5,500,1,0.0,0.12342190742492676,0.0,4800068,
1000,100,500,4,1.0,1.0,0.5,500,1,0.0,0.1235651969909668,0.0,4800068,
1000,100,500,6,1.0,1.0,0.5,500,1,0.0,0.1790759563446045,0.0,4800068,
1000,100,500,8,1.0,1.0,0.5,500,1,0.0,0.18408608436584473,0.0,4800068,
1000,500,500,1,1.0,1.0,0.5,500,1,0.0,0.4719390869140625,0.0,24000068,
1000,500,500,2,1.0,1.0,0.5,500,1,0.0,0.3666341304779053,0.0,24000068,
1000,500,500,4,1.0,1.0,0.5,500,1,0.0,0.3259141445159912,0.0,24000068,
1000,500,500,6,1.0,1.0,0.5,500,1,0.0,0.3667898178100586,0.0,24000068,
1000,500,500,8,1.0,1.0,0.5,500,1,0.0,0.3683159351348877,0.0,24000068,
1000,1000,500,1,1.0,1.0,0.5,500,1,0.0,0.9883480072021484,0.0,48000068,
1000,1000,500,2,1.0,1.0,0.5,500,1,0.0,0.654116153717041,0.0,48000068,
1000,1000,500,4,1.0,1.0,0.5,500,1,0.0,0.6089849472045898,0.0,48000068,
1000,1000,500,6,1.0,1.0,0.5,500,1,0.0,0.6024210453033447,0.0,48000068,
1000,1000,500,8,1.0,1.0,0.5,500,1,0.0,0.6233060359954834,0.0,48000068,
1000,5000,500,1,1.0,1.0,0.5,500,1,0.0,10.156595945358276,0.0,240000068,
1000,5000,500,2,1.0,1.0,0.5,500,1,0.0,4.198498964309692,0.0,240000068,
1000,5000,500,4,1.0,1.0,0.5,500,1,0.0,2.859792947769165,0.0,240000068,
1000,5000,500,6,1.0,1.0,0.5,500,1,0.0,2.8512630462646484,0.0,240000068,
1000,5000,500,8,1.0,1.0,0.5,500,1,0.0,2.813318967819214,0.0,240000068,
1000,10000,500,1,1.0,1.0,0.5,500,1,0.0,19.785957098007202,0.0,480000068,
1000,10000,500,2,1.0,1.0,0.5,500,1,0.0,9.859632968902588,0.0,480000068,
1000,10000,500,4,1.0,1.0,0.5,500,1,0.0,7.371949195861816,0.0,480000068,
1000,10000,500,6,1.0,1.0,0.5,500,1,0.0,6.4690399169921875,0.0,480000068,
1000,10000,500,8,1.0,1.0,0.5,500,1,0.0,8.847919940948486,0.0,480000068,
5000,100,500,1,1.0,1.0,0.5,500,1,0.0,0.5668950080871582,0.0,24000068,
5000,100,500,2,1.0,1.0,0.5,500,1,0.0,0.40070104598999023,0.0,24000068,
5000,100,500,4,1.0,1.0,0.5,500,1,0.0,0.35626792907714844,0.0,24000068,
5000,100,500,6,1.0,1.0,0.5,500,1,0.0,0.37693190574645996,0.0,24000068,
5000,100,500,8,1.0,1.0,0.5,500,1,0.0,0.41118788719177246,0.0,24000068,
5000,500,500,1,1.0,1.0,0.5,500,1,0.0,3.6773409843444824,0.0,120000068,
5000,500,500,2,1.0,1.0,0.5,500,1,0.0,1.8725619316101074,0.0,120000068,
5000,500,500,4,1.0,1.0,0.5,500,1,0.0,1.6252529621124268,0.0,120000068,
5000,500,500,6,1.0,1.0,0.5,500,1,0.0,1.4450390338897705,0.0,120000068,
5000,500,500,8,1.0,1.0,0.5,500,1,0.0,1.5144639015197754,0.0,120000068,
5000,1000,500,1,1.0,1.0,0.5,500,1,0.0,7.227313041687012,0.0,240000068,
5000,1000,500,2,1.0,1.0,0.5,500,1,0.0,4.718422889709473,0.0,240000068,
5000,1000,500,4,1.0,1.0,0.5,500,1,0.0,2.9893088340759277,0.0,240000068,
5000,1000,500,6,1.0,1.0,0.5,500,1,0.0,2.895375967025757,0.0,240000068,
5000,1000,500,8,1.0,1.0,0.5,500,1,0.0,4.366417169570923,0.0,240000068,
5000,5000,500,1,1.0,1.0,0.5,500,1,0.0,30.055559873580933,0.0,1200000068,
5000,5000,500,2,1.0,1.0,0.5,500,1,0.0,19.01359510421753,0.0,1200000068,
5000,5000,500,4,1.0,1.0,0.5,500,1,0.0,14.386225938796997,0.0,1200000068,
5000,5000,500,6,1.0,1.0,0.5,500,1,0.0,16.153539896011353,0.0,1200000068,
5000,5000,500,8,1.0,1.0,0.5,500,1,0.0,14.685039043426514,0.0,1200000068,
5000,10000,500,1,1.0,1.0,0.5,500,1,0.0,85.31027007102966,0.0,2400000068,
5000,10000,500,2,1.0,1.0,0.5,500,1,0.0,56.30897092819214,0.0,2400000068,
5000,10000,500,4,1.0,1.0,0.5,500,1,0.0,42.647493839263916,0.0,2400000068,
5000,10000,500,6,1.0,1.0,0.5,500,1,0.0,36.8185498714447,0.0,2400000068,
5000,10000,500,8,1.0,1.0,0.5,500,1,0.0,38.39691686630249,0.0,2400000068,
10000,100,500,1,1.0,1.0,0.5,500,1,0.0,1.6105329990386963,0.0,48000068,
10000,100,500,2,1.0,1.0,0.5,500,1,0.0,0.9125800132751465,0.0,48000068,
10000,100,500,4,1.0,1.0,0.5,500,1,0.0,0.7078349590301514,0.0,48000068,
