rows,cols,steps,threads,problem,avg_read_time_s,avg_compute_time_s,avg_write_time_s,speedup,efficiency,count
100,300,1000,10,30000000,0.0,0.028442573547363282,0.0,4.706097732713703,0.47060977327137027,5
100,300,1000,12,30000000,0.0,0.024616003036499023,0.0,5.437663079798929,0.4531385899832441,5
100,300,1000,14,30000000,0.0,0.02279219627380371,0.0,5.8727789667919845,0.41948421191371316,5
100,300,1000,16,30000000,0.0,0.020855140686035157,0.0,6.418251159217494,0.4011406974510934,5
100,300,1000,18,30000000,0.0,0.020322656631469725,0.0,6.5864189564919515,0.36591216424955286,5
100,300,1000,20,30000000,0.0,0.019269752502441406,0.0,6.946302546793495,0.34731512733967473,5
100,300,2000,1,60000000,0.0,0.2605557918548584,0.0,1.0,1.0,5
100,300,2000,2,60000000,0.0,0.14249863624572753,0.0,1.8284791961485913,0.9142395980742957,5
100,300,2000,4,60000000,0.0,0.08798551559448242,0.0,2.9613486957982644,0.7403371739495661,5
100,300,2000,8,60000000,0.0,0.0632554054260254,0.0,4.1191071355880835,0.5148883919485104,5
100,300,2000,10,60000000,0.0,0.05415821075439453,0.0,4.811011815668527,0.4811011815668527,5
100,300,2000,12,60000000,0.0,0.04788885116577148,0.0,5.440844487016854,0.4534037072514045,5
100,300,2000,14,60000000,0.0,0.04385662078857422,0.0,5.941082262378498,0.4243630187413213,5
100,300,2000,16,60000000,0.0,0.0413393497467041,0.0,6.302851724841946,0.3939282328026216,5
100,300,2000,18,60000000,0.0,0.03949103355407715,0.0,6.5978468630876845,0.3665470479493158,5
100,300,2000,20,60000000,0.0,0.039264774322509764,0.0,6.635866278377834,0.33179331391889166,5
200,100,1000,1,20000000,0.0,0.08818163871765136,0.0,1.0,1.0,5
200,100,1000,2,20000000,0.0,0.04905385971069336,0.0,1.7976493437565007,0.8988246718782503,5
200,100,1000,4,20000000,0.0,0.03416318893432617,0.0,2.581188743450382,0.6452971858625955,5
200,100,1000,8,20000000,0.0,0.02246546745300293,0.0,3.9252082736370677,0.49065103420463346,5
200,100,1000,10,20000000,0.0,0.01996440887451172,0.0,4.416942132969017,0.44169421329690167,5
200,100,1000,12,20000000,0.0,0.01762843132019043,0.0,5.00223968406389,0.4168533070053242,5
200,100,1000,14,20000000,0.0,0.01626138687133789,0.0,5.422762487317683,0.3873401776655488,5
200,100,1000,16,20000000,0.0,0.015254592895507813,0.0,5.7806615569281545,0.36129134730800966,5
200,100,1000,18,20000000,0.0,0.015094184875488281,0.0,5.842093458180118,0.3245607476766732,5
200,100,1000,20,20000000,0.0,0.014774417877197266,0.0,5.9685355761969,0.29842677880984503,5
200,100,2000,1,40000000,0.0,0.1761394500732422,0.0,1.0,1.0,5
200,100,2000,2,40000000,0.0,0.09562878608703614,0.0,1.84190825043967,0.920954125219835,5
200,100,2000,4,40000000,0.0,0.06069159507751465,0.0,2.9022049898058997,0.7255512474514749,5
200,100,2000,8,40000000,0.0,0.04499673843383789,0.0,3.9144937211890003,0.48931171514862504,5
200,100,2000,10,40000000,0.0,0.03923773765563965,0.0,4.489031748442959,0.44890317484429587,5
200,100,2000,12,40000000,0.0,0.03398475646972656,0.0,5.182895755929464,0.4319079796607887,5
200,100,2000,14,40000000,0.0,0.0309450626373291,0.0,5.692004961746782,0.406571782981913,5
200,100,2000,16,40000000,0.0,0.02910580635070801,0.0,6.051694563994017,0.3782309102496261,5
200,100,2000,18,40000000,0.0,0.02899932861328125,0.0,6.073914759273875,0.3374397088485486,5
200,100,2000,20,40000000,0.0,0.02739582061767578,0.0,6.429427777739099,0.321471388886955,5
200,200,1000,1,40000000,0.0,0.1803459644317627,0.0,1.0,1.0,5
