rows,cols,steps,threads,dx,dy,height,save_interval,repeat,read_time_s,compute_time_s,write_time_s,movie_bytes,movie_path
10000,500,500,6,1.0,1.0,0.5,500,1,0.0,4.0791850090026855,0.0,240000068,
10000,500,500,8,1.0,1.0,0.5,500,1,0.0,3.948485851287842,0.0,240000068,
10000,1000,500,1,1.0,1.0,0.5,500,1,0.0,48.62276792526245,0.0,480000068,
10000,1000,500,2,1.0,1.0,0.5,500,1,0.0,22.467325925827026,0.0,480000068,
10000,1000,500,4,1.0,1.0,0.5,500,1,0.0,10.360315084457397,0.0,480000068,
10000,1000,500,6,1.0,1.0,0.5,500,1,0.0,8.190212965011597,0.0,480000068,
10000,1000,500,8,1.0,1.0,0.5,500,1,0.0,7.121273994445801,0.0,480000068,
10000,5000,500,1,1.0,1.0,0.5,500,1,0.0,122.64348983764648,0.0,2400000068,
10000,5000,500,2,1.0,1.0,0.5,500,1,0.0,62.13013195991516,0.0,2400000068,
10000,5000,500,4,1.0,1.0,0.5,500,1,0.0,37.41229796409607,0.0,2400000068,
10000,5000,500,6,1.0,1.0,0.5,500,1,0.0,34.284323930740356,0.0,2400000068,
10000,5000,500,8,1.0,1.0,0.5,500,1,0.0,44.13455414772034,0.0,2400000068,
10000,10000,500,1,1.0,1.0,0.5,500,1,0.0,245.05692505836487,0.0,4800000068,
10000,10000,500,2,1.0,1.0,0.5,500,1,0.0,120.52662706375122,0.0,4800000068,
10000,10000,500,4,1.0,1.0,0.5,500,1,0.0,78.6254620552063,0.0,4800000068,
10000,10000,500,6,1.0,1.0,0.5,500,1,0.0,70.8761420249939,0.0,4800000068,
10000,10000,500,8,1.0,1.0,0.5,500,1,0.0,68.66339993476868,0.0,4800000068,
