N,P,trial,serial_absorbed,parallel_absorbed,diff_absorbed,serial_transmitted,parallel_transmitted,diff_transmitted,serial_reflected,parallel_reflected,diff_reflected,pass
200000,1,4,152513,152369,0.0007200000000000539,176,201,0.000125,47311,47430,0.0005950000000000122,1
200000,2,0,152592,152530,0.00030999999999992145,191,212,0.00010499999999999995,47217,47258,0.00020500000000001073,1
200000,2,1,152710,152492,0.0010899999999999244,195,193,9.999999999999918e-06,47095,47315,0.0011000000000000176,1
200000,2,2,152702,152493,0.0010450000000000736,204,194,5.000000000000002e-05,47094,47313,0.0010949999999999849,1
200000,2,3,152499,152305,0.0009700000000000264,177,170,3.500000000000009e-05,47324,47525,0.0010050000000000059,1
200000,2,4,152513,152336,0.0008850000000000247,176,192,7.999999999999999e-05,47311,47472,0.0008050000000000002,1
200000,4,0,152592,152645,0.00026500000000007073,191,207,7.999999999999988e-05,47217,47148,0.0003449999999999842,1
200000,4,1,152710,152613,0.0004849999999999577,195,205,5.000000000000013e-05,47095,47182,0.0004350000000000187,1
200000,4,2,152702,152879,0.0008850000000000247,204,196,4.0000000000000105e-05,47094,46925,0.0008450000000000124,1
200000,4,3,152499,152451,0.00024000000000001798,177,169,3.9999999999999996e-05,47324,47380,0.00028000000000000247,1
200000,4,4,152513,152288,0.0011250000000000426,176,180,1.9999999999999944e-05,47311,47532,0.0011050000000000226,1
200000,8,0,152592,152501,0.0004549999999999832,191,199,3.9999999999999996e-05,47217,47300,0.0004149999999999987,1
200000,8,1,152710,152399,0.001554999999999973,195,191,1.9999999999999944e-05,47095,47410,0.0015750000000000208,1
200000,8,2,152702,152815,0.0005649999999999267,204,203,5.000000000000013e-06,47094,46982,0.0005600000000000049,1
200000,8,3,152499,152522,0.00011499999999997623,177,180,1.4999999999999931e-05,47324,47298,0.00012999999999999123,1
200000,8,4,152513,152482,0.00015500000000001624,176,208,0.00015999999999999988,47311,47310,4.999999999977245e-06,1
200000,16,0,152592,152634,0.00021000000000004349,191,183,3.9999999999999996e-05,47217,47183,0.00016999999999997573,1
200000,16,1,152710,152691,9.499999999995623e-05,195,207,5.999999999999994e-05,47095,47102,3.500000000000725e-05,1
200000,16,2,152702,152622,0.00040000000000006697,204,182,0.00011000000000000007,47094,47196,0.0005099999999999827,1
200000,16,3,152499,152397,0.0005100000000000104,177,170,3.500000000000009e-05,47324,47433,0.0005449999999999899,1
200000,16,4,152513,152350,0.0008150000000000102,176,194,9.000000000000002e-05,47311,47456,0.0007250000000000034,1
200000,20,0,152592,152842,0.0012499999999999734,191,178,6.500000000000006e-05,47217,46980,0.0011849999999999916,1
200000,20,1,152710,152799,0.0004450000000000287,195,216,0.00010500000000000006,47095,46985,0.0005499999999999949,1
200000,20,2,152702,152766,0.00031999999999998696,204,190,7.000000000000008e-05,47094,47044,0.0002500000000000002,1
200000,20,3,152499,152154,0.0017250000000000876,177,162,7.500000000000009e-05,47324,47684,0.001799999999999996,1
200000,20,4,152513,152220,0.0014650000000000496,176,180,1.9999999999999944e-05,47311,47600,0.0014450000000000018,1
400000,1,0,305343,305503,0.00039999999999995595,354,348,1.500000000000004e-05,94303,94149,0.00038499999999999646,1
400000,1,1,305378,305173,0.0005125000000000268,385,371,3.499999999999998e-05,94237,94456,0.0005474999999999786,1
400000,1,2,304973,305171,0.0004950000000000232,408,400,2.0000000000000052e-05,94619,94429,0.0004750000000000032,1
400000,1,3,304825,304948,0.0003075000000000161,350,397,0.00011749999999999987,94825,94655,0.0004250000000000087,1
400000,1,4,305098,305107,2.250000000003638e-05,361,423,0.00015500000000000008,94541,94470,0.0001774999999999971,1
400000,2,0,305343,305111,0.0005800000000000249,354,376,5.499999999999993e-05,94303,94513,0.0005249999999999977,1
400000,2,1,305378,305039,0.000847500000000001,385,391,1.500000000000004e-05,94237,94570,0.000832499999999986,1
400000,2,2,304973,305148,0.0004375000000000906,408,376,8.00000000000001e-05,94619,94476,0.00035749999999998283,1
400000,2,3,304825,304540,0.0007125000000000048,350,368,4.500000000000001e-05,94825,95092,0.0006674999999999875,1
400000,2,4,305098,304892,0.0005150000000000432,361,390,7.249999999999997e-05,94541,94718,0.00044250000000001233,1
400000,4,0,305343,305038,0.0007624999999999993,354,407,0.00013249999999999991,94303,94555,0.0006299999999999917,1
400000,4,1,305378,305035,0.0008575000000000665,385,402,4.25e-05,94237,94563,0.0008149999999999824,1
400000,4,2,304973,305215,0.0006050000000000777,408,386,5.5000000000000036e-05,94619,94399,0.0005499999999999949,1
400000,4,3,304825,305245,0.0010499999999999954,350,346,1.0000000000000026e-05,94825,94409,0.0010400000000000131,1
400000,4,4,305098,304909,0.0004724999999999868,361,373,2.999999999999997e-05,94541,94718,0.00044250000000001233,1
400000,8,0,305343,305179,0.00041000000000002146,354,396,0.00010499999999999995,94303,94425,0.0003049999999999997,1
400000,8,1,305378,305162,0.0005399999999999849,385,362,5.750000000000004e-05,94237,94476,0.0005975000000000008,1
400000,8,2,304973,305504,0.001327500000000037,408,373,8.750000000000012e-05,94619,94123,0.0012399999999999911,1
400000,8,3,304825,304956,0.0003275000000000361,350,359,2.249999999999995e-05,94825,94685,0.00035000000000001696,1
400000,8,4,305098,304850,0.0006199999999999539,361,391,7.500000000000009e-05,94541,94759,0.0005450000000000177,1
400000,16,0,305343,305219,0.00031000000000003247,354,388,8.5e-05,94303,94393,0.00022500000000000298,1
400000,16,1,305378,305086,0.0007300000000000084,385,401,3.999999999999989e-05,94237,94513,0.0006899999999999962,1
400000,16,2,304973,305290,0.0007925000000000848,408,390,4.500000000000012e-05,94619,94320,0.0007474999999999843,1
400000,16,3,304825,304956,0.0003275000000000361,350,362,2.999999999999997e-05,94825,94682,0.0003575000000000106,1
400000,16,4,305098,304953,0.00036250000000004334,361,390,7.249999999999997e-05,94541,94657,0.00029000000000001247,1
400000,20,0,305343,305592,0.0006224999999999703,354,362,1.9999999999999944e-05,94303,94046,0.0006425000000000181,1
400000,20,1,305378,305186,0.00048000000000003595,385,416,7.749999999999988e-05,94237,94398,0.0004025000000000001,1
400000,20,2,304973,305010,9.250000000005087e-05,408,393,3.749999999999999e-05,94619,94597,5.4999999999999494e-05,1
400000,20,3,304825,304936,0.0002775000000000416,350,354,1.0000000000000026e-05,94825,94710,0.0002874999999999961,1
400000,20,4,305098,305003,0.0002375000000000016,361,403,0.00010499999999999995,94541,94594,0.0001325000000000076,1
800000,1,0,610513,611003,0.0006125000000000158,764,756,1.0000000000000026e-05,188723,188241,0.0006025000000000058,1
800000,1,1,610565,610214,0.00043874999999993225,773,727,5.7499999999999934e-05,188662,189059,0.0004962500000000036,1
800000,1,2,609661,609612,6.125000000001268e-05,781,777,5.000000000000013e-06,189558,189611,6.624999999998993e-05,1
800000,1,3,610195,609919,0.0003450000000000397,721,783,7.749999999999999e-05,189084,189298,0.00026750000000000385,1
800000,1,4,610645,609580,0.001331250000000006,762,792,3.749999999999999e-05,188593,189628,0.0012937499999999824,1
800000,2,0,610513,610366,0.00018375000000003805,764,744,2.4999999999999957e-05,188723,188890,0.00020875000000000754,1
800000,2,1,610565,610339,0.00028249999999996334,773,764,1.1249999999999975e-05,188662,188897,0.0002937500000000093,1
800000,2,2,609661,610266,0.0007562500000000139,781,797,1.9999999999999944e-05,189558,188937,0.0007762500000000061,1
800000,2,3,610195,609465,0.0009125000000000938,721,766,5.6249999999999985e-05,189084,189769,0.0008562500000000028,1
800000,2,4,610645,609976,0.0008362499999999828,762,815,6.62499999999999e-05,188593,189209,0.0007699999999999929,1
800000,4,0,610513,610806,0.0003662500000000124,764,771,8.749999999999969e-06,188723,188423,0.00037499999999998646,1
800000,4,1,610565,610316,0.00031124999999998515,773,783,1.2500000000000033e-05,188662,188901,0.0002987500000000143,1
800000,4,2,609661,610175,0.0006424999999999903,781,753,3.499999999999998e-05,189558,189072,0.0006075000000000108,1
800000,4,3,610195,609739,0.0005700000000000705,721,714,8.750000000000077e-06,189084,189547,0.000578749999999989,1
800000,4,4,610645,609993,0.0008150000000000102,762,764,2.5000000000000066e-06,188593,189243,0.0008124999999999938,1
800000,8,0,610513,610209,0.00038000000000004697,764,778,1.7499999999999937e-05,188723,189013,0.0003625000000000156,1
800000,8,1,610565,609789,0.0009700000000000264,773,760,1.624999999999999e-05,188662,189451,0.000986249999999994,1
800000,8,2,609661,610478,0.0010212499999999736,781,747,4.25e-05,189558,188775,0.0009787500000000005,1
800000,8,3,610195,610398,0.0002537499999999415,721,744,2.875000000000002e-05,189084,188858,0.00028250000000001885,1
800000,8,4,610645,610181,0.0005799999999999139,762,780,2.249999999999995e-05,188593,189039,0.0005574999999999886,1
800000,16,0,610513,610300,0.0002662500000000234,764,782,2.250000000000006e-05,188723,188918,0.0002437500000000148,1
800000,16,1,610565,610541,2.999999999997449e-05,773,752,2.6250000000000015e-05,188662,188707,5.625000000000768e-05,1
800000,16,2,609661,610613,0.0011900000000000244,781,753,3.499999999999998e-05,189558,188634,0.0011550000000000171,1
800000,16,3,610195,610142,6.625000000004544e-05,721,746,3.124999999999992e-05,189084,189112,3.499999999997949e-05,1
800000,16,4,610645,609650,0.001243749999999988,762,757,6.249999999999962e-06,188593,189593,0.0012499999999999734,1
800000,20,0,610513,610561,6.0000000000060005e-05,764,756,1.0000000000000026e-05,188723,188683,4.999999999999449e-05,1
800000,20,1,610565,610871,0.00038250000000006334,773,788,1.8749999999999995e-05,188662,188341,0.0004012499999999919,1
800000,20,2,609661,610098,0.0005462499999999704,781,759,2.7499999999999964e-05,189558,189143,0.0005187500000000123,1
800000,20,3,610195,609821,0.0004675000000000651,721,723,2.5000000000000066e-06,189084,189456,0.0004649999999999932,1
800000,20,4,610645,609571,0.0013424999999999132,762,775,1.624999999999999e-05,188593,189654,0.0013262499999999733,1
1600000,1,0,1220146,1221436,0.0008062499999998973,1500,1477,1.4374999999999956e-05,378354,377087,0.0007918749999999974,1
1600000,1,1,1220911,1220537,0.00023375000000003254,1541,1486,3.437500000000001e-05,377548,377977,0.00026812500000000794,1
1600000,1,2,1218966,1219800,0.0005212500000000286,1535,1544,5.624999999999988e-06,379499,378656,0.0005268749999999822,1
1600000,1,3,1220689,1219719,0.0006062499999999194,1505,1522,1.0625e-05,377806,378759,0.0005956249999999885,1
1600000,1,4,1220518,1219941,0.0003606250000000033,1479,1571,5.7499999999999934e-05,378003,378488,0.00030312499999998743,1
1600000,2,0,1220146,1221290,0.0007149999999999102,1500,1540,2.5000000000000066e-05,378354,377170,0.0007399999999999907,1
1600000,2,1,1220911,1220781,8.125000000003268e-05,1541,1509,2.0000000000000052e-05,377548,377710,0.00010124999999999718,1
1600000,2,2,1218966,1219770,0.0005024999999999613,1535,1533,1.2500000000000575e-06,379499,378697,0.0005012499999999809,1
1600000,2,3,1220689,1219354,0.0008343749999999428,1505,1525,1.2500000000000033e-05,377806,379121,0.0008218749999999997,1
1600000,2,4,1220518,1219813,0.0004406249999999723,1479,1523,2.7500000000000072e-05,378003,378664,0.0004131249999999864,1
1600000,4,0,1220146,1221174,0.0006424999999999903,1500,1505,3.124999999999981e-06,378354,377321,0.000645624999999983,1
1600000,4,1,1220911,1220471,0.0002750000000000252,1541,1572,1.9375000000000078e-05,377548,377957,0.0002556250000000093,1
1600000,4,2,1218966,1220232,0.0007912500000000211,1535,1568,2.062499999999992e-05,379499,378200,0.0008118749999999897,1
1600000,4,3,1220689,1219815,0.0005462499999999704,1505,1498,4.37499999999993e-06,377806,378687,0.000550624999999999,1
1600000,4,4,1220518,1220235,0.00017687500000007628,1479,1593,7.125000000000002e-05,378003,378172,0.00010562499999999808,1
1600000,8,0,1220146,1220687,0.0003381249999999669,1500,1541,2.562500000000004e-05,378354,377772,0.000363749999999996,1
1600000,8,1,1220911,1220165,0.0004662500000000014,1541,1506,2.1874999999999976e-05,377548,378329,0.0004881250000000059,1
1600000,8,2,1218966,1220746,0.0011124999999999607,1535,1489,2.875000000000002e-05,379499,377765,0.0010837499999999944,1
1600000,8,3,1220689,1220283,0.0002537499999999415,1505,1499,3.7499999999999556e-06,377806,378218,0.00025749999999999384,1
1600000,8,4,1220518,1220541,1.4375000000010907e-05,1479,1579,6.249999999999995e-05,378003,377880,7.687500000000402e-05,1
1600000,16,0,1220146,1220158,7.499999999938112e-06,1500,1518,1.1250000000000084e-05,378354,378324,1.8749999999984057e-05,1
1600000,16,1,1220911,1220380,0.0003318750000000925,1541,1538,1.875000000000032e-06,377548,378082,0.0003337499999999938,1
1600000,16,2,1218966,1220822,0.0011600000000000499,1535,1495,2.5000000000000066e-05,379499,377683,0.0011349999999999971,1
1600000,16,3,1220689,1220944,0.00015937500000007265,1505,1536,1.9375000000000078e-05,377806,377520,0.0001787500000000053,1
1600000,16,4,1220518,1219908,0.00038124999999999964,1479,1540,3.812500000000007e-05,378003,378552,0.0003431249999999997,1
1600000,20,0,1220146,1220699,0.00034562499999990504,1500,1521,1.3125000000000007e-05,378354,377780,0.000358749999999991,1
1600000,20,1,1220911,1220694,0.0001356250000000836,1541,1581,2.5000000000000066e-05,377548,377725,0.00011062500000000308,1
1600000,20,2,1218966,1220753,0.0011168750000000172,1535,1489,2.875000000000002e-05,379499,377758,0.0010881249999999953,1
1600000,20,3,1220689,1220850,0.00010062500000007635,1505,1498,4.37499999999993e-06,377806,377652,9.624999999999218e-05,1
1600000,20,4,1220518,1219624,0.0005587500000000523,1479,1514,2.1875000000000084e-05,378003,378862,0.0005368749999999922,1
3200000,1,0,2440942,2441684,0.0002318749999999925,3032,3027,1.5625000000000448e-06,756026,755289,0.0002303125000000239,1
3200000,1,1,2441806,2441952,4.5624999999938076e-05,3083,3089,1.875000000000032e-06,755111,754959,4.750000000000587e-05,1
3200000,1,2,2439521,2440179,0.00020562499999998707,3055,3064,2.812499999999994e-06,757424,756757,0.00020843749999999162,1
3200000,1,3,2441770,2439777,0.0006228124999999585,3045,3002,1.3437499999999995e-05,755185,757221,0.0006362500000000049,1
3200000,1,4,2441655,2441422,7.281250000001904e-05,2995,3080,2.6562500000000002e-05,755350,755498,4.624999999999768e-05,1
3200000,2,0,2440942,2442752,0.000565625000000014,3032,3012,6.249999999999962e-06,756026,754236,0.0005593750000000008,1
3200000,2,1,2441806,2441371,0.00013593750000007176,3083,3021,1.937499999999997e-05,755111,755608,0.00015531249999997665,1
3200000,2,2,2439521,2439859,0.00010562499999999808,3055,3111,1.7499999999999937e-05,757424,757030,0.0001231250000000017,1
3200000,2,3,2441770,2439459,0.0007221874999999711,3045,2970,2.343750000000002e-05,755185,757571,0.0007456249999999998,1
3200000,2,4,2441655,2440425,0.00038437499999999236,2995,3041,1.4374999999999956e-05,755350,756534,0.0003700000000000092,1
3200000,4,0,2440942,2442853,0.0005971874999999294,3032,3099,2.0937500000000014e-05,756026,754048,0.0006181250000000249,1
3200000,4,1,2441806,2441010,0.0002487500000000198,3083,3096,4.062500000000051e-06,755111,755894,0.0002446874999999793,1
3200000,4,2,2439521,2440021,0.00015625000000007994,3055,3092,1.1562499999999963e-05,757424,756887,0.00016781249999997527,1
3200000,4,3,2441770,2439619,0.0006721874999999766,3045,3025,6.250000000000071e-06,755185,757356,0.0006784374999999898,1
3200000,4,4,2441655,2440433,0.000381874999999976,2995,3054,1.8437500000000008e-05,755350,756513,0.00036343750000000785,1
3200000,8,0,2440942,2440539,0.00012593750000000625,3032,3005,8.437499999999981e-06,756026,756456,0.00013437499999999214,1
3200000,8,1,2441806,2440985,0.0002565625000000571,3083,3063,6.249999999999962e-06,755111,755952,0.000262812499999987,1
3200000,8,2,2439521,2440484,0.0003009375000000425,3055,3046,2.812499999999994e-06,757424,756470,0.00029812499999998243,1
3200000,8,3,2441770,2440890,0.0002750000000000252,3045,3040,1.5625000000000448e-06,755185,756070,0.00027656249999999383,1
3200000,8,4,2441655,2441216,0.00013718750000002444,2995,3182,5.8437500000000004e-05,755350,755602,7.875000000001631e-05,1
3200000,16,0,2440942,2440642,9.375000000000355e-05,3032,3014,5.624999999999988e-06,756026,756344,9.937499999998489e-05,1
3200000,16,1,2441806,2440789,0.0003178125000000698,3083,3088,1.5625000000000448e-06,755111,756123,0.00031624999999999015,1
3200000,16,2,2439521,2441624,0.0006571874999999894,3055,3030,7.812500000000007e-06,757424,755346,0.0006493749999999798,1
3200000,16,3,2441770,2440728,0.00032562499999999606,3045,3020,7.812500000000007e-06,755185,756252,0.0003334375000000056,1
3200000,16,4,2441655,2440584,0.00033468749999998604,2995,3063,2.125e-05,755350,756353,0.00031343750000001336,1
3200000,20,0,2440942,2439787,0.0003609374999999915,3032,3003,9.062499999999956e-06,756026,757210,0.00036999999999998145,1
3200000,20,1,2441806,2441028,0.0002431250000000107,3083,3154,2.2187499999999963e-05,755111,755818,0.00022093749999999024,1
3200000,20,2,2439521,2441204,0.0005259375000000732,3055,3006,1.5312500000000027e-05,757424,755790,0.0005106249999999868,1
3200000,20,3,2441770,2441600,5.312499999998721e-05,3045,3007,1.1875000000000058e-05,755185,755393,6.50000000000095e-05,1
3200000,20,4,2441655,2440180,0.00046093749999998046,2995,3037,1.3125000000000007e-05,755350,756783,0.0004478125000000055,1
6400000,1,0,4882287,4882560,4.2656249999994955e-05,6083,6109,4.062499999999943e-06,1511630,1511331,4.671875000000769e-05,1
6400000,1,1,4883421,4882878,8.484374999995214e-05,6066,6112,7.187500000000032e-06,1510513,1511010,7.765624999997445e-05,1
6400000,1,2,4880233,4880547,4.9062500000029985e-05,6069,6092,3.593750000000016e-06,1513698,1513361,5.2656250000004956e-05,1
6400000,1,3,4883183,4880718,0.0003851562499999073,6065,6010,8.59375000000003e-06,1510752,1513272,0.000393750000000026,1
6400000,1,4,4883100,4883192,1.4374999999899885e-05,6036,6084,7.50000000000002e-06,1510864,1510724,2.187500000000453e-05,1
6400000,2,0,4882287,4882853,8.843749999998263e-05,6083,6128,7.0312499999999846e-06,1511630,1511019,9.546875000002175e-05,1
6400000,2,1,4883421,4883854,6.765625000004771e-05,6066,6196,2.031250000000004e-05,1510513,1509950,8.796875000000037e-05,1
