n,p,a,b,answer,time_seconds,speedup,efficiency
100000000,98,10.0,20.0,2333.333333333319,0.008669,40.194601453454844,0.4101489944230086
100000000,99,10.0,20.0,2333.333333333336,0.008728,39.92289184234647,0.4032615337610755
100000000,100,10.0,20.0,2333.333333333326,0.00873,39.91374570446735,0.3991374570446735
100000000,101,10.0,20.0,2333.333333333334,0.008232,42.328352769679306,0.4190926016799931
100000000,102,10.0,20.0,2333.333333333351,0.008926,39.037306744342374,0.38271869357198407
100000000,103,10.0,20.0,2333.333333333331,0.009029,38.59198139328829,0.37467943100279893
100000000,104,10.0,20.0,2333.333333333323,0.008751,39.81796366129585,0.3828650352047678
100000000,105,10.0,20.0,2333.333333333338,0.008409,41.437388512308246,0.3946417953553166
100000000,106,10.0,20.0,2333.333333333324,0.007823,44.54135242234437,0.420201437946645
100000000,107,10.0,20.0,2333.333333333332,0.007667,45.44763271162123,0.4247442309497311
100000000,108,10.0,20.0,2333.333333333322,0.008687,40.111315759180385,0.37140107184426285
100000000,109,10.0,20.0,2333.333333333334,0.009246,37.686242699545744,0.34574534586739214
100000000,110,10.0,20.0,2333.333333333333,0.008638,40.33885158601528,0.36671683260013893
100000000,111,10.0,20.0,2333.33333333334,0.0089,39.15134831460674,0.3527148496811418
100000000,112,10.0,20.0,2333.333333333343,0.008781,39.68192688759822,0.3543029186392698
100000000,113,10.0,20.0,2333.333333333336,0.009452,36.86489631823952,0.326238020515394
100000000,114,10.0,20.0,2333.333333333338,0.008881,39.235108658934806,0.3441676198152176
100000000,115,10.0,20.0,2333.333333333328,0.009059,38.46417926923502,0.3344711240803045
100000000,116,10.0,20.0,2333.333333333334,0.00923,37.75157096424702,0.3254445772779916
100000000,117,10.0,20.0,2333.333333333329,0.010271,33.92532372699834,0.2899600318546867
100000000,118,10.0,20.0,2333.333333333335,0.008215,42.41594643944005,0.3594571732155936
100000000,119,10.0,20.0,2333.333333333335,0.009166,38.01516473925376,0.319455165876082
100000000,120,10.0,20.0,2333.33333333333,0.011098,31.397278788970986,0.26164398990809157
100000000,121,10.0,20.0,2333.333333333336,0.010144,34.35005914826498,0.28388478634929737
100000000,122,10.0,20.0,2333.333333333329,0.009788,35.59940743767879,0.291798421620318
100000000,123,10.0,20.0,2333.333333333329,0.010237,34.03799941389079,0.2767317025519576
100000000,124,10.0,20.0,2333.333333333331,0.011114,31.352078459600502,0.2528393424161331
100000000,125,10.0,20.0,2333.333333333324,0.010418,33.4466308312536,0.2675730466500288
100000000,126,10.0,20.0,2333.333333333335,0.012464,27.956274069319644,0.22187519102634637
100000000,127,10.0,20.0,2333.333333333334,0.009329,37.350948654732555,0.29410195791127997
100000000,128,10.0,20.0,2333.333333333341,0.010883,32.01755030781953,0.2501371117798401
200000000,1,10.0,20.0,2333.333333333117,0.689517,1.0,1.0
200000000,2,10.0,20.0,2333.333333332687,0.347969,1.98154720679141,0.990773603395705
200000000,3,10.0,20.0,2333.333333333745,0.227598,3.029538923892126,1.009846307964042
200000000,4,10.0,20.0,2333.333333333569,0.171557,4.01917147070653,1.0047928676766325
200000000,5,10.0,20.0,2333.333333333299,0.137857,5.001682903298345,1.0003365806596691
200000000,6,10.0,20.0,2333.333333333408,0.114902,6.000913822213713,1.0001523037022855
200000000,7,10.0,20.0,2333.333333333282,0.097978,7.037467594766173,1.0053525135380246
200000000,8,10.0,20.0,2333.33333333337,0.086958,7.929310701718072,0.991163837714759
200000000,9,10.0,20.0,2333.333333333419,0.076414,9.023438113434713,1.0026042348260793
200000000,10,10.0,20.0,2333.333333333318,0.068841,10.01608053340306,1.001608053340306
200000000,11,10.0,20.0,2333.333333333387,0.062773,10.984292609880045,0.9985720554436405
200000000,12,10.0,20.0,2333.333333333365,0.05761,11.968703350112827,0.9973919458427356
200000000,13,10.0,20.0,2333.333333333317,0.053726,12.833953765402226,0.9872272127232482
200000000,14,10.0,20.0,2333.33333333331,0.050059,13.774086577838153,0.9838633269884395
200000000,15,10.0,20.0,2333.333333333303,0.045972,14.998629600626469,0.9999086400417646
200000000,16,10.0,20.0,2333.333333333429,0.043799,15.742756683942558,0.9839222927464099
200000000,17,10.0,20.0,2333.333333333358,0.040732,16.9281400373171,0.995772943371594
200000000,18,10.0,20.0,2333.333333333335,0.038535,17.893265862203194,0.9940703256779552
200000000,19,10.0,20.0,2333.333333333365,0.036418,18.933412048986767,0.9964953709993035
200000000,20,10.0,20.0,2333.333333333304,0.034883,19.766562508958522,0.9883281254479261
200000000,21,10.0,20.0,2333.333333333342,0.033176,20.783608632746567,0.9896956491784079
200000000,22,10.0,20.0,2333.333333333343,0.031666,21.77467946693615,0.9897581575880068
200000000,23,10.0,20.0,2333.333333333315,0.031072,22.190943614830076,0.9648236354273946
200000000,24,10.0,20.0,2333.333333333343,0.029858,23.093207850492334,0.962216993770514
200000000,25,10.0,20.0,2333.333333333358,0.028217,24.436226388347453,0.9774490555338982
200000000,26,10.0,20.0,2333.333333333388,0.02741,25.15567311200292,0.9675258889231892
200000000,27,10.0,20.0,2333.333333333361,0.026198,26.3194518665547,0.9747945135761
200000000,28,10.0,20.0,2333.333333333373,0.025412,27.13351959704077,0.9690542713228847
200000000,29,10.0,20.0,2333.333333333409,0.02499,27.591716686674673,0.9514385064370576
200000000,30,10.0,20.0,2333.33333333334,0.024301,28.374017530142794,0.9458005843380931
200000000,31,10.0,20.0,2333.333333333348,0.023531,29.302494581615743,0.945241760697282
200000000,32,10.0,20.0,2333.333333333356,0.022623,30.478583742209256,0.9524557419440393
200000000,33,10.0,20.0,2333.33333333337,0.02203,31.299001361779393,0.9484545867205877
200000000,34,10.0,20.0,2333.333333333358,0.021429,32.176816463670725,0.9463769548138449
200000000,35,10.0,20.0,2333.333333333349,0.020876,33.02917225522131,0.943690635863466
