n,trial_index,total_s,read_s,compute_s,write_s
2000,34,0.02294889,0.012782058,0.01008458,6.832e-05
2000,35,0.027150841,0.014011011,0.013054496,6.8494e-05
2000,36,0.020206345,0.012077365,0.008049033,6.5862e-05
2000,37,0.018528989,0.012224385,0.006223352,7.1975e-05
2000,38,0.017893235,0.010789177,0.007005355,8.8744e-05
2000,39,0.025055735,0.013666248,0.011294425,7.9329e-05
2000,40,0.017489574,0.010337758,0.007079257,6.2393e-05
2000,41,0.021495594,0.01113461,0.010266636,8.2973e-05
2000,42,0.02130875,0.013578468,0.007641238,7.1571e-05
2000,43,0.014792316,0.008795269,0.005929424,5.8537e-05
2000,44,0.016658556,0.010054463,0.006533814,6.0731e-05
2000,45,0.02473463,0.012893143,0.011745778,8.4782e-05
2000,46,0.020793261,0.013317859,0.007393618,7.273e-05
2000,47,0.015727921,0.009123973,0.006530896,6.4754e-05
2000,48,0.018669678,0.010378515,0.00822064,5.7435e-05
2000,49,0.021722263,0.011712795,0.00992295,7.357e-05
2000,50,0.020145142,0.013029082,0.007027696,7.906e-05
2000,51,0.018353429,0.00994632,0.008331393,6.3919e-05
2000,52,0.019965057,0.012508314,0.00737374,7.4726e-05
2000,53,0.020220887,0.013586606,0.006539989,8.4772e-05
2000,54,0.0168695,0.010392011,0.00639282,7.5765e-05
2000,55,0.016253233,0.009362752,0.006814533,6.7775e-05
2000,56,0.022211199,0.012568593,0.009555892,7.5899e-05
2000,57,0.02008931,0.014088189,0.005922789,7.0151e-05
2000,58,0.01835666,0.011017376,0.007262201,6.628e-05
2000,59,0.015301931,0.009144335,0.006093366,5.6263e-05
2000,60,0.014319901,0.00832196,0.005918696,7.1663e-05
2000,61,0.017787496,0.011142487,0.006566032,7.2009e-05
2000,62,0.019205556,0.011267112,0.007812659,0.000116191
2000,63,0.022655646,0.015921165,0.006654703,6.9792e-05
2000,64,0.017959511,0.011445609,0.006427554,7.9866e-05
2000,65,0.019345782,0.012206591,0.007042947,8.659e-05
2000,66,0.018621352,0.010066317,0.008479484,6.7102e-05
2000,67,0.023595407,0.015880131,0.007641914,5.9515e-05
2000,68,0.017790882,0.011153582,0.006557025,7.2169e-05
2000,69,0.019556193,0.012627972,0.006832172,8.8855e-05
2000,70,0.027379613,0.011921578,0.015360272,7.9e-05
2000,71,0.020423966,0.013667584,0.006677817,6.8853e-05
2000,72,0.018166404,0.010577173,0.007505896,7.315e-05
2000,73,0.025105776,0.013273155,0.011740882,7.6602e-05
2000,74,0.018518421,0.011867891,0.006568525,6.9622e-05
2000,75,0.022274952,0.012941993,0.009211365,0.000112621
2000,76,0.026707646,0.018724952,0.007900721,6.6533e-05
2000,77,0.016317933,0.009645626,0.006596387,6.7911e-05
2000,78,0.019234313,0.012457493,0.006691224,7.6225e-05
2000,79,0.019975191,0.009648678,0.010243043,7.3774e-05
2000,80,0.025916176,0.016546379,0.009281814,7.126e-05
2000,81,0.016809787,0.009668295,0.007066678,6.6352e-05
2000,82,0.028740824,0.017045393,0.011597431,7.3289e-05
2000,83,0.017365833,0.01083,0.00645713,7.153e-05
2000,84,0.017292705,0.009699674,0.007515221,6.9075e-05
2000,85,0.021356135,0.012910826,0.008354818,7.8108e-05
2000,86,0.019725914,0.012190304,0.007453424,7.2217e-05
2000,87,0.02598388,0.015954066,0.009935592,7.2396e-05
2000,88,0.024067886,0.014142713,0.009831071,8.4783e-05
2000,89,0.020257189,0.009147013,0.01102861,7.0308e-05
2000,90,0.0193575,0.011806156,0.007479685,5.8591e-05
2000,91,0.018694232,0.012297722,0.006287474,9.9957e-05
2000,92,0.02050078,0.01222981,0.008177461,8.2754e-05
2000,93,0.021963813,0.010597088,0.011285256,6.6496e-05
2000,94,0.019861587,0.012494026,0.007290685,6.4358e-05
2000,95,0.022216925,0.01201025,0.010119634,7.8473e-05
