N,P,trial,elapsed_seconds,absorbed,transmitted,reflected
200000,15,0,0.0021804529997098143,93251,46388,60361
200000,15,1,0.0023575820000587555,93420,46316,60264
200000,15,2,0.002536313000291557,93162,46472,60366
200000,15,3,0.002322907999769086,93029,46363,60608
200000,15,4,0.0022940210001252126,92955,46611,60434
200000,16,0,0.0022075900001254922,93267,46467,60266
200000,16,1,0.0023499090002587764,93361,46432,60207
200000,16,2,0.0021803919999001664,93101,46472,60427
200000,16,3,0.0022651990002486855,93142,46271,60587
200000,16,4,0.002201082999818027,92907,46585,60508
200000,17,0,0.002282153000123799,93162,46549,60289
200000,17,1,0.0021809979998579365,93339,46566,60095
200000,17,2,0.002218578999872989,93206,46562,60232
200000,17,3,0.002133957999831182,93053,46276,60671
200000,17,4,0.002259065000089322,93011,46423,60566
200000,18,0,0.002298222000263195,93343,46527,60130
200000,18,1,0.002195742999901995,93344,46604,60052
200000,18,2,0.002388412999607681,93222,46526,60252
200000,18,3,0.0021015749998696265,93126,46346,60528
200000,18,4,0.002046515000074578,92966,46437,60597
200000,19,0,0.002057993000107672,93352,46580,60068
200000,19,1,0.002071385999897757,93408,46592,60000
200000,19,2,0.002079894999951648,93191,46558,60251
200000,19,3,0.002290364000145928,93010,46297,60693
200000,19,4,0.0020853689998148184,92984,46487,60529
200000,20,0,0.002076163000310771,93209,46738,60053
200000,20,1,0.0020228879998285265,93436,46612,59952
200000,20,2,0.002038198999798624,93165,46552,60283
200000,20,3,0.002121841000189306,93031,46286,60683
200000,20,4,0.0020101039999644854,92855,46533,60612
400000,1,0,0.025048429999969812,186664,93154,120182
400000,1,1,0.025240886000119644,186267,92666,121067
400000,1,2,0.02524560099982409,185860,93107,121033
400000,1,3,0.024953561000074842,186076,92993,120931
400000,1,4,0.026297054999758984,186191,92796,121013
400000,2,0,0.013418777999959275,185928,93355,120717
400000,2,1,0.013415652000276168,186235,92829,120936
400000,2,2,0.013112426999668969,186415,93007,120578
400000,2,3,0.01292751099981615,186290,92620,121090
400000,2,4,0.013097771000047942,186222,92743,121035
400000,3,0,0.009266229999866482,186161,93385,120454
400000,3,1,0.009052203000010195,186338,92988,120674
400000,3,2,0.009086991999993188,186129,93174,120697
400000,3,3,0.008885407999969175,186582,92660,120758
400000,3,4,0.008879725000042527,186257,92669,121074
400000,4,0,0.007141548000163311,186541,93092,120367
400000,4,1,0.007361003000369237,186263,93039,120698
400000,4,2,0.007054873000015505,186366,93133,120501
400000,4,3,0.006951138000204082,186763,92758,120479
400000,4,4,0.006776358000024629,186183,92937,120880
400000,5,0,0.00623163399995974,186417,93258,120325
400000,5,1,0.0058279879999645345,186226,93001,120773
400000,5,2,0.005796261999876151,186331,93120,120549
400000,5,3,0.0058374330001242924,186651,93050,120299
400000,5,4,0.0057025330002034025,185911,93079,121010
400000,6,0,0.005486105999807478,186201,93468,120331
400000,6,1,0.0052534940000441566,186105,92919,120976
400000,6,2,0.005055757999798516,186282,92939,120779
400000,6,3,0.005358089999845106,186524,92958,120518
400000,6,4,0.005074484000033408,186008,93028,120964
400000,7,0,0.0051654190001499956,186137,93315,120548
400000,7,1,0.004439212000306725,186281,92724,120995
400000,7,2,0.004315569000027608,186110,92951,120939
400000,7,3,0.004360390000329062,186670,92783,120547
400000,7,4,0.0043205900001339614,185932,93162,120906
400000,8,0,0.005073579999589128,186168,93248,120584
400000,8,1,0.005028256000059628,186309,92826,120865
400000,8,2,0.004116064000299957,186062,93216,120722
400000,8,3,0.004044193000027008,186458,92820,120722
400000,8,4,0.005059500000243133,186150,93031,120819
400000,9,0,0.004586443999869516,186283,93341,120376
400000,9,1,0.0042495229999985895,186439,92778,120783
400000,9,2,0.004566355999941152,186211,93187,120602
400000,9,3,0.004287735000161774,186012,93147,120841
400000,9,4,0.004566339000120934,186255,92922,120823
400000,10,0,0.004347561000031419,186260,93467,120273
400000,10,1,0.004250508000041009,186530,92780,120690
400000,10,2,0.0043142490003447165,186159,93068,120773
400000,10,3,0.004245697999976983,186133,92935,120932
400000,10,4,0.004222777999984828,186268,92827,120905
400000,11,0,0.004280227999970521,186436,93176,120388
400000,11,1,0.004425134000030084,186162,92991,120847
400000,11,2,0.004153126000346674,186251,93062,120687
400000,11,3,0.004156684000008681,186183,92992,120825
400000,11,4,0.004063846999997622,186435,92680,120885
400000,12,0,0.004724208999959956,186500,93015,120485
400000,12,1,0.003834634000213555,186171,93012,120817
400000,12,2,0.0038455900003100396,186252,93098,120650
400000,12,3,0.003872144000069966,186172,93056,120772
400000,12,4,0.00405424500013396,186297,92834,120869
400000,13,0,0.004154657000071893,186447,92788,120765
400000,13,1,0.003910692999852472,186172,92951,120877
400000,13,2,0.0036552690003190946,186007,93286,120707
400000,13,3,0.0037810829999216367,186195,93090,120715
400000,13,4,0.003823464000106469,186574,92842,120584
400000,14,0,0.003372482000031596,186490,92737,120773
400000,14,1,0.00341884800036496,186168,92918,120914
400000,14,2,0.0036352900001475064,186135,93135,120730
400000,14,3,0.0036971180002183246,186201,93133,120666
400000,14,4,0.003560857999673317,186408,92912,120680
400000,15,0,0.003574666999611509,186292,92901,120807
400000,15,1,0.0033555460004208726,186172,92825,121003
400000,15,2,0.003563223000128346,186099,93070,120831
400000,15,3,0.003497673999845574,186194,93111,120695
400000,15,4,0.0034321479997743154,186227,92974,120799
400000,16,0,0.00344212099980723,186390,92825,120785
400000,16,1,0.0035249899997324974,186384,92839,120777
400000,16,2,0.0034420359997966443,186063,93071,120866
400000,16,3,0.003717051999956311,186190,93108,120702
400000,16,4,0.0034496060002311424,186276,92987,120737
400000,17,0,0.0033218179996765684,186298,92942,120760
400000,17,1,0.0032809680001264496,186285,92854,120861
400000,17,2,0.003311963000214746,186102,93060,120838
400000,17,3,0.003318529999887687,186033,93193,120774
400000,17,4,0.0033679369998935726,186345,92964,120691
400000,18,0,0.0031681899999966845,186252,93024,120724
400000,18,1,0.0032506510001439892,186302,92942,120756
400000,18,2,0.0032544460000281106,186114,92837,121049
400000,18,3,0.0032324899998457113,186125,93233,120642
400000,18,4,0.0033334839999952237,186257,93079,120664
400000,19,0,0.0032727389998399303,186316,93056,120628
400000,19,1,0.003103726000063034,186376,92884,120740
400000,19,2,0.0030877209997015598,186228,92770,121002
400000,19,3,0.003203872000085539,186342,93130,120528
400000,19,4,0.0031562509998366295,186076,93174,120750
400000,20,0,0.0031487579999520676,186359,93055,120586
400000,20,1,0.0030736409999008174,186538,92889,120573
